participant;leg;time;sample;samplenr;tissue_weight;extraction_nr;protein_frac
P19;R;S0;mRNA2;315;;I:1;
P19;L;S1;mRNA1;329;7.1;I:2;234
P19;L;post1w;mRNA2;486;4.7;I:3;352
P19;L;S0;mRNA2;312;4.8;I:4;350
P19;R;S8;mRNA1;422;3.8;I:5;434
P19;R;S12;mRNA1;464;10.3;I:6;161
P19;R;S0;mRNA1;314;8.8;I:7;188
P19;L;S12;mRNA2;462;6.0;I:8;277
P19;L;S8;mRNA1;419;3.9;I:9;426
P19;L;S5;mRNA1;383;4.4;I:10;374
P19;R;S1;mRNA1;332;10.8;I:11;154
P19;L;S9;mRNA2;432;6.2;I:12;268
P19;R;S9;mRNA1;434;4.1;I:13;401
P19;R;S1;mRNA2;333;11.6;I:14;143
P19;L;S8;mRNA2;420;6.4;I:15;258
P19;L;S9;mRNA1;431;11.0;I:16;151
P19;R;post1w;mRNA2;489;7.6;II:1;219
P19;L;S4;mRNA1;371;8.4;II:2;197
P19;L;S4;mRNA2;372;9.3;II:3;179
P19;R;S5;mRNA1;386;5.2;II:4;319
P19;R;S4;mRNA2;375;5.0;II:5;331
P19;R;S12;mRNA2;465;6.4;II:6;261
P19;L;S1;mRNA2;330;7.0;II:7;238
P19;R;S9;mRNA2;435;4.9;II:8;338
P19;L;S0;mRNA1;311;8.4;II:9;198
P19;R;post1w;mRNA1;488;10.9;II:10;153
P19;R;S8;mRNA2;423;4.2;II:11;394
P19;L;S12;mRNA1;461;6.1;II:12;274
P19;R;S4;mRNA1;374;8.1;II:13;204
P19;R;S5;mRNA2;387;6.4;II:14;261
P19;L;post1w;mRNA1;485;7.3;II:15;227
P19;L;S5;mRNA2;384;4.5;II:16;373
P21;R;S9;mRNA2;441;6.9;I:1;242
P21;R;S8;mRNA2;429;5.7;I:2;289
P21;L;S0;mRNA1;317;12.4;I:3;134
P21;R;S12;mRNA2;471;10.6;I:4;156
P21;R;post1w;mRNA2;504;3.8;I:5;441
